COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24
24661896,85.0,225.0,0.0,40.0,270.0,40.0,155.0,75.0,30.0,10.0,300.0,10.0,120.0,110.0,40.0,30.0,0.0,0.0,0.0,0.0,265.0,45.0,55.0,240.0
24661897,160.0,230.0,0.0,95.0,295.0,30.0,180.0,135.0,50.0,0.0,375.0,20.0,265.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,360.0,25.0,50.0,330.0
24661898,85.0,205.0,0.0,50.0,240.0,35.0,145.0,50.0,50.0,20.0,275.0,15.0,165.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,240.0,50.0,35.0,245.0
24661899,145.0,445.0,0.0,90.0,500.0,80.0,315.0,95.0,95.0,0.0,575.0,10.0,230.0,190.0,70.0,55.0,10.0,10.0,0.0,10.0,555.0,25.0,65.0,450.0
24661900,125.0,200.0,0.0,95.0,235.0,10.0,145.0,85.0,65.0,25.0,310.0,10.0,150.0,80.0,25.0,30.0,10.0,0.0,0.0,20.0,285.0,40.0,35.0,280.0
24661901,95.0,95.0,0.0,25.0,160.0,0.0,55.0,65.0,40.0,30.0,175.0,10.0,140.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,155.0,35.0,0.0,190.0
24661902,120.0,215.0,0.0,50.0,285.0,15.0,135.0,105.0,60.0,25.0,325.0,10.0,255.0,30.0,15.0,15.0,10.0,0.0,0.0,0.0,295.0,35.0,40.0,285.0
24661903,55.0,225.0,0.0,50.0,230.0,25.0,170.0,55.0,25.0,0.0,275.0,0.0,130.0,90.0,35.0,20.0,0.0,0.0,0.0,0.0,240.0,40.0,55.0,215.0
24661904,115.0,175.0,0.0,100.0,185.0,20.0,125.0,90.0,25.0,25.0,280.0,0.0,190.0,40.0,20.0,20.0,15.0,0.0,0.0,0.0,250.0,35.0,20.0,260.0
24661905,110.0,145.0,0.0,65.0,195.0,10.0,95.0,120.0,25.0,20.0,250.0,10.0,205.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,15.0,0.0,230.0
24661906,75.0,170.0,0.0,35.0,210.0,0.0,105.0,80.0,45.0,15.0,240.0,0.0,170.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,210.0,35.0,0.0,220.0
24661907,165.0,135.0,0.0,65.0,230.0,0.0,95.0,85.0,80.0,40.0,295.0,0.0,265.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,35.0,25.0,275.0
24661908,150.0,270.0,0.0,120.0,300.0,0.0,200.0,135.0,65.0,15.0,405.0,15.0,295.0,45.0,10.0,15.0,0.0,35.0,20.0,0.0,370.0,50.0,25.0,375.0
24661909,65.0,175.0,0.0,50.0,195.0,0.0,110.0,80.0,35.0,15.0,225.0,25.0,165.0,40.0,0.0,10.0,0.0,20.0,0.0,0.0,215.0,25.0,15.0,205.0
24661910,100.0,115.0,0.0,50.0,165.0,0.0,65.0,80.0,40.0,20.0,215.0,0.0,190.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,25.0,0.0,200.0
24661912,60.0,195.0,0.0,75.0,175.0,0.0,90.0,95.0,40.0,20.0,255.0,0.0,170.0,35.0,25.0,0.0,0.0,0.0,10.0,10.0,215.0,35.0,0.0,220.0
24661913,60.0,220.0,0.0,30.0,250.0,0.0,160.0,80.0,35.0,0.0,265.0,10.0,220.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,245.0,35.0,0.0,245.0
