unit,attribute,control_tier,workflow_role,reference_available,reference_source,reference_total,census_available,census_source,census_total,seed_total,seed_to_reference_ratio,seed_to_census_ratio,n_categories,tvd,mae_pp,rmse_pp,max_abs_pp,target_provenance,smoothing_mode,raw_target_total,effective_target_total,donor_support_mass,fit_error
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,290.0,True,smoothed_direct_da,290.0,8616.0,29.71034482758621,29.71034482758621,3,0.11111164473473573,7.407442982315715,7.870656009111018,11.111164473473572,direct_da,direct,290.0,290.0,280.0,0.24284100216152377
household,core_housing_need,tier_3,joint_fit,True,smoothed_direct_da,270.0,True,smoothed_direct_da,270.0,8290.0,30.703703703703702,30.703703703703702,2,0.06274404682124825,6.274404682124825,6.274404682124825,6.2744046821248265,direct_da,direct,270.0,270.0,272.0,0.07141517977955826
person,sex,tier_1,joint_fit,True,smoothed_direct_da,475.0,True,smoothed_direct_da,475.0,15546.0,32.72842105263158,32.72842105263158,2,0.017011653022947215,1.7011653022947215,1.7011653022947215,1.7011653022947215,direct_da,direct,475.0,475.0,288.0,0.08661235795062232
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,475.0,True,smoothed_direct_da,475.0,15546.0,32.72842105263158,32.72842105263158,15,0.20087279178262138,2.6783038904349517,3.1415637710912554,6.315789473684211,direct_da,direct,475.0,475.0,288.0,0.3845701767156694
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,290.0,True,smoothed_direct_da,290.0,8616.0,29.71034482758621,29.71034482758621,5,0.1306950981333846,5.227803925335383,6.7887832463449165,12.713716261646347,direct_da,direct,290.0,290.0,300.0,0.05964140973619137
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,295.0,True,smoothed_direct_da,295.0,8616.0,29.20677966101695,29.20677966101695,5,0.12511724344144912,5.004689737657965,6.3306943753863685,11.63247722015014,direct_da,direct,295.0,295.0,300.0,0.06159889921515738
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,295.0,True,smoothed_direct_da,295.0,10766.0,36.49491525423729,36.49491525423729,3,0.14490691032975753,9.660460688650502,10.6778230555845,14.490691032975755,direct_da,direct,295.0,295.0,264.0,0.13415304633259784
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,425.0,True,smoothed_direct_da,425.0,12871.0,30.28470588235294,30.28470588235294,3,0.12355271997696604,8.236847998464402,10.022202351886337,12.355271997696605,direct_da,direct,425.0,425.0,288.0,0.10649727030123059
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,425.0,True,smoothed_direct_da,425.0,12871.0,30.28470588235294,30.28470588235294,4,0.0794983707102607,3.974918535513035,4.0256452995319085,4.863829767786232,direct_da,direct,425.0,425.0,288.0,0.060210540860225405
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,305.0,True,smoothed_direct_da,305.0,8616.0,28.249180327868853,28.249180327868853,2,0.07962502092941837,7.962502092941836,7.962502092941836,7.962502092941836,direct_da,direct,305.0,305.0,300.0,0.16389623907325432
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,295.0,True,smoothed_direct_da,295.0,8613.0,29.196610169491525,29.196610169491525,3,0.05294322535701845,3.5295483571345634,4.290001828153153,5.294322535701845,direct_da,direct,295.0,295.0,300.0,0.01694915254237302
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,490.0,True,smoothed_direct_da,490.0,15417.0,31.463265306122448,31.463265306122448,2,0.020951560231019836,2.0951560231019837,2.0951560231019837,2.095156023101985,direct_da,direct,490.0,490.0,287.0,0.06657324334048803
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,485.0,True,smoothed_direct_da,485.0,15417.0,31.787628865979382,31.787628865979382,3,0.024815289588611886,1.6543526392407926,1.829453153295399,2.481528958861184,direct_da,direct,485.0,485.0,287.0,0.06939182333967323
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,115.0,True,smoothed_direct_da,115.0,1582.0,13.756521739130434,13.756521739130434,4,0.6086956521739131,30.434782608695656,36.616188755159975,59.226075963282575,direct_da,direct,115.0,115.0,21.0,0.6897349439475858
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,120.0,True,smoothed_direct_da,120.0,5714.0,47.61666666666667,47.61666666666667,5,0.14368218410920544,5.747287364368217,6.219245931628371,8.333333333333332,direct_da,direct,120.0,120.0,158.0,0.727690250045706
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,295.0,True,smoothed_direct_da,295.0,8616.0,29.20677966101695,29.20677966101695,5,0.25143013392505864,10.057205357002346,13.224024106240476,25.143013392505864,direct_da,direct,295.0,295.0,300.0,0.26689029581599305
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,555.0,True,smoothed_direct_da,555.0,8616.0,15.524324324324324,15.524324324324324,11,0.06112135812692915,1.1112974204896209,1.2181138945289445,2.003187031042185,direct_da,direct,555.0,555.0,299.0,0.4657548756469587
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,305.0,True,smoothed_direct_da,305.0,8616.0,28.249180327868853,28.249180327868853,3,0.10110621489565735,6.740414326377158,7.1651640703594675,10.11062148956573,direct_da,direct,305.0,305.0,300.0,0.3168279214658136
household,core_housing_need,tier_3,joint_fit,True,smoothed_direct_da,300.0,True,smoothed_direct_da,300.0,8290.0,27.633333333333333,27.633333333333333,2,0.0020707679935665427,0.20707679935665427,0.20707679935665427,0.20707679935665496,direct_da,direct,300.0,300.0,290.0,0.06473980133304806
person,sex,tier_1,joint_fit,True,smoothed_direct_da,530.0,True,smoothed_direct_da,530.0,15546.0,29.332075471698115,29.332075471698115,2,0.027079707453716156,2.7079707453716155,2.7079707453716155,2.707970745371618,direct_da,direct,530.0,530.0,255.0,0.04573912086485777
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,530.0,True,smoothed_direct_da,530.0,15546.0,29.332075471698115,29.332075471698115,15,0.1465377249259046,1.9538363323453947,2.8551971412518204,6.75293529367501,direct_da,direct,530.0,530.0,255.0,0.33874234868984765
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,260.0,True,smoothed_direct_da,260.0,8616.0,33.13846153846154,33.13846153846154,5,0.08771694878937218,3.5086779515748874,4.617194287944481,8.771694878937215,direct_da,direct,260.0,260.0,265.0,0.04422160116572046
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,265.0,True,smoothed_direct_da,265.0,8616.0,32.51320754716981,32.51320754716981,5,0.09569953224365371,3.8279812897461483,4.913781437435332,9.569953224365369,direct_da,direct,265.0,265.0,265.0,0.05695437364996878
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,315.0,True,smoothed_direct_da,315.0,10766.0,34.17777777777778,34.17777777777778,3,0.06386360352550206,4.257573568366804,4.515870161258217,6.386360352550202,direct_da,direct,315.0,315.0,238.0,0.08581872408462993
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,440.0,True,smoothed_direct_da,440.0,12871.0,29.25227272727273,29.25227272727273,3,0.012542290279062895,0.8361526852708597,0.8982975784143943,1.2542290279062867,direct_da,direct,440.0,440.0,255.0,0.11541024383739547
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,440.0,True,smoothed_direct_da,440.0,12871.0,29.25227272727273,29.25227272727273,4,0.0959026988084559,4.795134940422795,5.498776261112827,8.585368093176339,direct_da,direct,440.0,440.0,255.0,0.09339163408574755
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,250.0,True,smoothed_direct_da,250.0,8616.0,34.464,34.464,2,0.1836536675951718,18.36536675951718,18.36536675951718,18.365366759517183,direct_da,direct,250.0,250.0,265.0,0.09025088005823927
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,265.0,True,smoothed_direct_da,265.0,8613.0,32.50188679245283,32.50188679245283,3,0.07994497129175072,5.329664752783382,6.4945544798885075,7.994497129175074,direct_da,direct,265.0,265.0,265.0,0.05487508156089482
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,570.0,True,smoothed_direct_da,570.0,15417.0,27.04736842105263,27.04736842105263,2,0.09900383377201517,9.900383377201518,9.900383377201518,9.90038337720152,direct_da,direct,570.0,570.0,250.0,0.20256431133054198
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,575.0,True,smoothed_direct_da,575.0,15417.0,26.812173913043477,26.812173913043477,3,0.04857145274414752,3.2380968496098346,3.8418816738361583,4.857145274414748,direct_da,direct,575.0,575.0,250.0,0.24981890178589705
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,175.0,True,smoothed_direct_da,175.0,1582.0,9.04,9.04,4,0.6857142857142858,34.28571428571429,41.52823331422692,66.92793931731985,direct_da,direct,175.0,175.0,17.0,0.7572654052704434
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,190.0,True,smoothed_direct_da,190.0,5714.0,30.073684210526316,30.073684210526316,5,0.1271208297256968,5.084833189027872,5.638260621109189,7.448925077832835,direct_da,direct,190.0,190.0,135.0,0.21915812018999975
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,250.0,True,smoothed_direct_da,250.0,8616.0,34.464,34.464,5,0.13986536675951716,5.594614670380686,6.412465782656329,8.958681522748375,direct_da,direct,250.0,250.0,265.0,0.059999999999999984
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,490.0,True,smoothed_direct_da,490.0,8616.0,17.583673469387755,17.583673469387755,11,0.3232524207454569,5.877316740826489,8.656834938712933,17.57859132510943,direct_da,direct,490.0,490.0,265.0,0.5367998059087031
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,250.0,True,smoothed_direct_da,250.0,8616.0,34.464,34.464,3,0.0918012999071495,6.120086660476633,6.689534054642896,9.180129990714953,direct_da,direct,250.0,250.0,265.0,0.20035720910611934
household,core_housing_need,tier_3,joint_fit,True,smoothed_direct_da,235.0,True,smoothed_direct_da,235.0,8290.0,35.276595744680854,35.276595744680854,2,0.08540410132689989,8.540410132689988,8.540410132689988,8.54041013268999,direct_da,direct,235.0,235.0,258.0,0.07518249634822
person,sex,tier_1,joint_fit,True,smoothed_direct_da,410.0,True,smoothed_direct_da,410.0,15546.0,37.917073170731705,37.917073170731705,2,0.02316806456370238,2.3168064563702377,2.3168064563702377,2.316806456370241,direct_da,direct,410.0,410.0,183.0,0.14889080423495937
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,410.0,True,smoothed_direct_da,410.0,15546.0,37.917073170731705,37.917073170731705,15,0.14945417690379145,1.9927223587172194,2.892307730952276,7.719341184149012,direct_da,direct,410.0,410.0,184.0,0.35358663413802177
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,190.0,True,smoothed_direct_da,190.0,8616.0,45.34736842105263,45.34736842105263,5,0.12930044470507743,5.172017788203097,5.605886691528162,8.974124028734787,direct_da,direct,190.0,190.0,190.0,0.22486217541370426
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,200.0,True,smoothed_direct_da,200.0,8616.0,43.08,43.08,5,0.11220984215413181,4.4883936861652725,6.140832471749266,11.07938718662952,direct_da,direct,200.0,200.0,190.0,0.22140534779056367
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,240.0,True,smoothed_direct_da,240.0,10766.0,44.858333333333334,44.858333333333334,3,0.10156201622391481,6.77080108159432,7.3410653941585995,10.156201622391482,direct_da,direct,240.0,240.0,173.0,0.12173858049139971
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,335.0,True,smoothed_direct_da,335.0,12871.0,38.42089552238806,38.42089552238806,3,0.0792548793597083,5.283658623980553,6.237133973369947,7.925487935970832,direct_da,direct,335.0,335.0,184.0,0.12941865190861476
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,335.0,True,smoothed_direct_da,335.0,12871.0,38.42089552238806,38.42089552238806,4,0.14521596044329665,7.260798022164833,8.419804772682037,14.521596044329666,direct_da,direct,335.0,335.0,184.0,0.2770402126623469
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,205.0,True,smoothed_direct_da,205.0,8616.0,42.02926829268293,42.02926829268293,2,0.18706830174151326,18.706830174151325,18.706830174151325,18.706830174151328,direct_da,direct,205.0,205.0,190.0,0.07317073170731693
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,190.0,True,smoothed_direct_da,190.0,8613.0,45.33157894736842,45.33157894736842,3,0.05313265748837437,3.5421771658916246,4.305467514054552,5.313265748837436,direct_da,direct,190.0,190.0,190.0,0.020803895160340213
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,415.0,True,smoothed_direct_da,415.0,15417.0,37.149397590361446,37.149397590361446,2,0.04394147909012977,4.394147909012977,4.394147909012977,4.39414790901298,direct_da,direct,415.0,415.0,182.0,0.26610746099422994
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,425.0,True,smoothed_direct_da,425.0,15417.0,36.27529411764706,36.27529411764706,3,0.10114808328468573,6.743205552312383,7.188110691722689,10.114808328468575,direct_da,direct,425.0,425.0,182.0,0.3430517423425886
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,115.0,True,smoothed_direct_da,115.0,1582.0,13.756521739130434,13.756521739130434,4,0.7391304347826088,36.95652173913044,44.839225811131506,72.26955422415216,direct_da,direct,115.0,115.0,18.0,0.7836580636299726
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,110.0,True,smoothed_direct_da,110.0,5714.0,51.945454545454545,51.945454545454545,5,0.10812358799758168,4.324943519903266,5.683990963856554,10.81235879975817,direct_da,direct,110.0,110.0,95.0,0.39465390065706957
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,200.0,True,smoothed_direct_da,200.0,8616.0,43.08,43.08,5,0.0598653667595172,2.394614670380688,3.2879927942779728,5.9586815227483765,direct_da,direct,200.0,200.0,190.0,0.2150914579949702
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,390.0,True,smoothed_direct_da,390.0,8616.0,22.092307692307692,22.092307692307692,11,0.3891864866795229,7.076117939627689,9.86475800329139,20.875294621812728,direct_da,direct,390.0,390.0,190.0,0.6726371455123623
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,205.0,True,smoothed_direct_da,205.0,8616.0,42.02926829268293,42.02926829268293,3,0.08911101297642504,5.940734198428336,6.59469667108314,8.911101297642505,direct_da,direct,205.0,205.0,190.0,0.2507850059189607
household,core_housing_need,tier_3,joint_fit,True,smoothed_direct_da,195.0,True,smoothed_direct_da,195.0,8290.0,42.51282051282051,42.51282051282051,2,0.08540410132689989,8.540410132689988,8.540410132689988,8.54041013268999,direct_da,direct,195.0,195.0,186.0,0.07614308062622524
person,sex,tier_1,joint_fit,True,smoothed_direct_da,585.0,True,smoothed_direct_da,585.0,15546.0,26.574358974358976,26.574358974358976,2,0.003051324934767591,0.3051324934767591,0.3051324934767591,0.30513249347676186,direct_da,direct,585.0,585.0,341.0,0.08652972983143474
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,585.0,True,smoothed_direct_da,585.0,15546.0,26.574358974358976,26.574358974358976,15,0.1041524408950113,1.388699211933484,1.6845323348268013,3.2212095122168454,direct_da,direct,585.0,585.0,342.0,0.27762297460801155
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,355.0,True,smoothed_direct_da,355.0,8616.0,24.270422535211267,24.270422535211267,5,0.0971334039520316,3.8853361580812638,5.343161781132773,9.483993095060617,direct_da,direct,355.0,355.0,350.0,0.05695421745652383
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,350.0,True,smoothed_direct_da,350.0,8616.0,24.617142857142856,24.617142857142856,5,0.10755206260777293,4.302082504310918,6.162986008598517,10.349184241941911,direct_da,direct,350.0,350.0,350.0,0.053167697612949934
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,365.0,True,smoothed_direct_da,365.0,10766.0,29.495890410958904,29.495890410958904,3,0.03363964179469105,2.2426427863127363,2.575031629520761,3.3639641794691033,direct_da,direct,365.0,365.0,324.0,0.16279294915976558
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,490.0,True,smoothed_direct_da,490.0,12871.0,26.26734693877551,26.26734693877551,3,0.025645375856814638,1.7096917237876426,1.8935775332928693,2.5645375856814647,direct_da,direct,490.0,490.0,342.0,0.043379482755361146
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,490.0,True,smoothed_direct_da,490.0,12871.0,26.26734693877551,26.26734693877551,4,0.032794020412920066,1.6397010206460032,1.9381745094821854,3.0892102004347723,direct_da,direct,490.0,490.0,342.0,0.0688440288983033
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,335.0,True,smoothed_direct_da,335.0,8616.0,25.719402985074627,25.719402985074627,2,0.02216113028173894,2.216113028173894,2.216113028173894,2.216113028173894,direct_da,direct,335.0,335.0,350.0,0.15679857780265913
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,355.0,True,smoothed_direct_da,355.0,8613.0,24.261971830985914,24.261971830985914,3,0.010689704230257866,0.7126469486838577,0.8415957423559455,1.0689704230257835,direct_da,direct,355.0,355.0,350.0,0.03846228230661977
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,555.0,True,smoothed_direct_da,555.0,15417.0,27.778378378378378,27.778378378378378,2,0.07031725245385491,7.031725245385491,7.031725245385491,7.031725245385492,direct_da,direct,555.0,555.0,341.0,0.049167067811714864
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,550.0,True,smoothed_direct_da,550.0,15417.0,28.03090909090909,28.03090909090909,3,0.13430451626598738,8.953634417732491,9.584139722661208,13.430451626598739,direct_da,direct,550.0,550.0,341.0,0.1298784207138464
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,155.0,True,smoothed_direct_da,155.0,1582.0,10.206451612903226,10.206451612903226,4,0.5161290322580646,25.80645161290323,31.697374378804295,49.969413971697726,direct_da,direct,155.0,155.0,23.0,0.650226598062143
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,160.0,True,smoothed_direct_da,160.0,5714.0,35.7125,35.7125,5,0.19440190759537979,7.7760763038151905,9.66357067128546,16.330504025201257,direct_da,direct,160.0,160.0,163.0,0.3787417340949921
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,285.0,True,smoothed_direct_da,285.0,8616.0,30.231578947368423,30.231578947368423,5,0.0564066852367688,2.2562674094707518,3.1593899702715986,5.203293749694571,direct_da,direct,285.0,285.0,350.0,0.22807017543859678
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,645.0,True,smoothed_direct_da,645.0,8616.0,13.35813953488372,13.35813953488372,11,0.06890911446524586,1.2528929902771975,1.7231542610174966,3.7793396817170866,direct_da,direct,645.0,645.0,350.0,0.528819804938842
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,335.0,True,smoothed_direct_da,335.0,8616.0,25.719402985074627,25.719402985074627,3,0.09001025513103009,6.000683675402006,6.5607551213888256,9.001025513103011,direct_da,direct,335.0,335.0,350.0,0.10314649180187142
household,core_housing_need,tier_3,joint_fit,True,smoothed_direct_da,305.0,True,smoothed_direct_da,305.0,8290.0,27.18032786885246,27.18032786885246,2,0.07853032490260828,7.853032490260828,7.853032490260828,7.853032490260831,direct_da,direct,305.0,305.0,342.0,0.13414401992059713
person,sex,tier_1,joint_fit,True,smoothed_direct_da,610.0,True,smoothed_direct_da,610.0,15546.0,25.485245901639345,25.485245901639345,2,0.017615621961687505,1.7615621961687506,1.7615621961687506,1.7615621961687533,direct_da,direct,610.0,610.0,362.0,0.05213611221407289
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,610.0,True,smoothed_direct_da,610.0,15546.0,25.485245901639345,25.485245901639345,15,0.18813758428186683,2.5085011237582244,3.120773772855522,6.710070378126891,direct_da,direct,610.0,610.0,362.0,0.28264016757831023
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,370.0,True,smoothed_direct_da,370.0,8616.0,23.286486486486485,23.286486486486485,5,0.1102662551130518,4.410650204522073,5.2171104537759705,8.380072272829942,direct_da,direct,370.0,370.0,370.0,0.04794137480252063
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,375.0,True,smoothed_direct_da,375.0,8616.0,22.976,22.976,5,0.07587279480037142,3.0349117920148565,3.915328049337224,7.587279480037146,direct_da,direct,375.0,375.0,370.0,0.029370589153841394
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,330.0,True,smoothed_direct_da,330.0,10766.0,32.624242424242425,32.624242424242425,3,0.03716807682997538,2.4778717886650257,2.9626830440162855,3.716807682997536,direct_da,direct,330.0,330.0,341.0,0.28248811650733086
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,550.0,True,smoothed_direct_da,550.0,12871.0,23.401818181818182,23.401818181818182,3,0.11711105303677752,7.807403535785168,8.692721452297754,11.711105303677755,direct_da,direct,550.0,550.0,362.0,0.06192188605673688
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,550.0,True,smoothed_direct_da,550.0,12871.0,23.401818181818182,23.401818181818182,4,0.07306630126923808,3.653315063461904,4.290690445750159,6.722370939603478,direct_da,direct,550.0,550.0,362.0,0.09256103237234697
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,360.0,True,smoothed_direct_da,360.0,8616.0,23.933333333333334,23.933333333333334,2,0.0263463324048282,2.63463324048282,2.63463324048282,2.63463324048282,direct_da,direct,360.0,360.0,370.0,0.09531413269138282
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,375.0,True,smoothed_direct_da,375.0,8613.0,22.968,22.968,3,0.012943225357018438,0.862881690467896,1.0252424828575002,1.2943225357018417,direct_da,direct,375.0,375.0,370.0,0.019180900790171845
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,555.0,True,smoothed_direct_da,555.0,15417.0,27.778378378378378,27.778378378378378,2,0.13338031551691798,13.338031551691799,13.338031551691799,13.338031551691799,direct_da,direct,555.0,555.0,360.0,0.24713913114288266
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,555.0,True,smoothed_direct_da,555.0,15417.0,27.778378378378378,27.778378378378378,3,0.14830943027090138,9.887295351393426,10.6868705570579,14.830943027090138,direct_da,direct,555.0,555.0,360.0,0.2501652744371513
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,130.0,True,smoothed_direct_da,130.0,1582.0,12.169230769230769,12.169230769230769,4,0.7692307692307693,38.46153846153847,47.701336562145016,75.2795876689682,direct_da,direct,130.0,130.0,25.0,0.9240869879309008
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,140.0,True,smoothed_direct_da,140.0,5714.0,40.81428571428572,40.81428571428572,5,0.164283214160708,6.5713285664283205,8.205174994864972,13.651932596629829,direct_da,direct,140.0,140.0,178.0,0.1884241279644757
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,350.0,True,smoothed_direct_da,350.0,8616.0,24.617142857142856,24.617142857142856,5,0.276127470486802,11.045098819472079,14.977593942212106,27.6127470486802,direct_da,direct,350.0,350.0,370.0,0.2660412278440373
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,665.0,True,smoothed_direct_da,665.0,8616.0,12.95639097744361,12.95639097744361,11,0.1637999944150069,2.978181716636489,3.9689336432899034,7.809740228007344,direct_da,direct,665.0,665.0,370.0,0.4726799306239835
household,dwelling_condition,tier_3,joint_fit,True,smoothed_direct_da,365.0,True,smoothed_direct_da,365.0,8616.0,23.605479452054794,23.605479452054794,3,0.10514843362460413,7.0098955749736085,7.435139735313872,10.514843362460407,direct_da,direct,365.0,365.0,370.0,0.28373068278268054
